INVOICE_DT,INV_ITEM_ID,QTY_CONSUMED,month,quarter,year,TMOD
2019-06-01,193405,1.6986487293463486,5,Q2,2019,0
2019-07-01,193405,1.0476890410577466,6,Q2,2019,0
2019-08-01,193405,1.1362195586649964,7,Q3,2019,0
2019-09-01,193405,0.7248130356666,8,Q3,2019,0
2019-10-01,193405,0.7508514231981441,9,Q3,2019,0
2019-11-01,193405,0.4383907728196153,10,Q4,2019,0
2019-12-01,193405,0.9331201359189527,11,Q4,2019,0
2020-01-01,193405,1.0893504611082172,0,Q4,2020,0
2020-02-01,193405,1.0997658161208348,1,Q1,2020,0
2020-03-01,193405,1.542418404157084,2,Q1,2020,0
